,REPORT
3292,1. there are possible segmental calcification in the left breast at mid depth.
3293,1. there are possible segmental calcification in the left breast at posterior depth.
3294,1. there are possible segmental calcification in the upper left breast.
3295,1. there are possible segmental calcification in the upper left breast at anterior depth.
3296,1. there are possible segmental calcification in the upper left breast at mid depth.
3297,1. there are possible segmental calcification in the upper left breast at posterior depth.
3298,1. there are possible segmental calcification in the lower left breast.
3299,1. there are possible segmental calcification in the lower left breast at anterior depth.
3300,1. there are possible segmental calcification in the lower left breast at mid depth.
3301,1. there are possible segmental calcification in the lower left breast at posterior depth.
3302,1. there are possible segmental calcification in the inner left breast.
3303,1. there are possible segmental calcification in the inner left breast at anterior depth.
3304,1. there are possible segmental calcification in the inner left breast at mid depth.
3305,1. there are possible segmental calcification in the inner left breast at posterior depth.
3306,1. there are possible segmental calcification in the outer left breast.
3307,1. there are possible segmental calcification in the outer left breast at anterior depth.
3308,1. there are possible segmental calcification in the outer left breast at mid depth.
3309,1. there are possible segmental calcification in the outer left breast at posterior depth.
3310,1. there are possible segmental calcification in the upper outer left breast.
3311,1. there are possible segmental calcification in the upper outer left breast at anterior depth.
3312,1. there are possible segmental calcification in the upper outer left breast at mid depth.
3313,1. there are possible segmental calcification in the upper outer left breast at posterior depth.
3314,1. there are possible segmental calcification in the upper inner left breast.
3315,1. there are possible segmental calcification in the upper inner left breast at anterior depth.
3316,1. there are possible segmental calcification in the upper inner left breast at mid depth.
3317,1. there are possible segmental calcification in the upper inner left breast at posterior depth.
3318,1. there are possible segmental calcification in the lower outer left breast.
3319,1. there are possible segmental calcification in the lower outer left breast at anterior depth.
3320,1. there are possible segmental calcification in the lower outer left breast at mid depth.
3321,1. there are possible segmental calcification in the lower outer left breast at posterior depth.
3322,1. there are possible segmental calcification in the lower inner left breast.
3323,1. there are possible segmental calcification in the lower inner left breast at anterior depth.
3324,1. there are possible segmental calcification in the lower inner left breast at mid depth.
3325,1. there are possible segmental calcification in the lower inner left breast at posterior depth.
3326,1. there are possible segmental calcification in the subareolar left breast.
3327,1. there are possible segmental calcification in the subareolar left breast at anterior depth.
3328,1. there are possible segmental calcification in the subareolar left breast at mid depth.
3329,1. there are possible segmental calcification in the subareolar left breast at posterior depth.
3330,1. there are possible linear calcification in the left breast.
3331,1. there are possible linear calcification in the left breast at anterior depth.
3332,1. there are possible linear calcification in the left breast at mid depth.
3333,1. there are possible linear calcification in the left breast at posterior depth.
3334,1. there are possible linear calcification in the upper left breast.
3335,1. there are possible linear calcification in the upper left breast at anterior depth.
3336,1. there are possible linear calcification in the upper left breast at mid depth.
3337,1. there are possible linear calcification in the upper left breast at posterior depth.
3338,1. there are possible linear calcification in the lower left breast.
3339,1. there are possible linear calcification in the lower left breast at anterior depth.
3340,1. there are possible linear calcification in the lower left breast at mid depth.
3341,1. there are possible linear calcification in the lower left breast at posterior depth.
3342,1. there are possible linear calcification in the inner left breast.
3343,1. there are possible linear calcification in the inner left breast at anterior depth.
3344,1. there are possible linear calcification in the inner left breast at mid depth.
3345,1. there are possible linear calcification in the inner left breast at posterior depth.
3346,1. there are possible linear calcification in the outer left breast.
3347,1. there are possible linear calcification in the outer left breast at anterior depth.
3348,1. there are possible linear calcification in the outer left breast at mid depth.
3349,1. there are possible linear calcification in the outer left breast at posterior depth.
3350,1. there are possible linear calcification in the upper outer left breast.
3351,1. there are possible linear calcification in the upper outer left breast at anterior depth.
3352,1. there are possible linear calcification in the upper outer left breast at mid depth.
3353,1. there are possible linear calcification in the upper outer left breast at posterior depth.
3354,1. there are possible linear calcification in the upper inner left breast.
3355,1. there are possible linear calcification in the upper inner left breast at anterior depth.
3356,1. there are possible linear calcification in the upper inner left breast at mid depth.
3357,1. there are possible linear calcification in the upper inner left breast at posterior depth.
3358,1. there are possible linear calcification in the lower outer left breast.
3359,1. there are possible linear calcification in the lower outer left breast at anterior depth.
3360,1. there are possible linear calcification in the lower outer left breast at mid depth.
3361,1. there are possible linear calcification in the lower outer left breast at posterior depth.
3362,1. there are possible linear calcification in the lower inner left breast.
3363,1. there are possible linear calcification in the lower inner left breast at anterior depth.
3364,1. there are possible linear calcification in the lower inner left breast at mid depth.
3365,1. there are possible linear calcification in the lower inner left breast at posterior depth.
3366,1. there are possible linear calcification in the subareolar left breast.
3367,1. there are possible linear calcification in the subareolar left breast at anterior depth.
3368,1. there are possible linear calcification in the subareolar left breast at mid depth.
3369,1. there are possible linear calcification in the subareolar left breast at posterior depth.
3370,1. there are questioned calcification in the left breast.
3371,1. there are questioned calcification in the left breast at anterior depth.
3372,1. there are questioned calcification in the left breast at mid depth.
3373,1. there are questioned calcification in the left breast at posterior depth.
3374,1. there are questioned calcification in the upper left breast.
3375,1. there are questioned calcification in the upper left breast at anterior depth.
3376,1. there are questioned calcification in the upper left breast at mid depth.
3377,1. there are questioned calcification in the upper left breast at posterior depth.
3378,1. there are questioned calcification in the lower left breast.
3379,1. there are questioned calcification in the lower left breast at anterior depth.
3380,1. there are questioned calcification in the lower left breast at mid depth.
3381,1. there are questioned calcification in the lower left breast at posterior depth.
3382,1. there are questioned calcification in the inner left breast.
3383,1. there are questioned calcification in the inner left breast at anterior depth.
3384,1. there are questioned calcification in the inner left breast at mid depth.
3385,1. there are questioned calcification in the inner left breast at posterior depth.
3386,1. there are questioned calcification in the outer left breast.
3387,1. there are questioned calcification in the outer left breast at anterior depth.
3388,1. there are questioned calcification in the outer left breast at mid depth.
3389,1. there are questioned calcification in the outer left breast at posterior depth.
3390,1. there are questioned calcification in the upper outer left breast.
3391,1. there are questioned calcification in the upper outer left breast at anterior depth.
3392,1. there are questioned calcification in the upper outer left breast at mid depth.
3393,1. there are questioned calcification in the upper outer left breast at posterior depth.
3394,1. there are questioned calcification in the upper inner left breast.
3395,1. there are questioned calcification in the upper inner left breast at anterior depth.
3396,1. there are questioned calcification in the upper inner left breast at mid depth.
3397,1. there are questioned calcification in the upper inner left breast at posterior depth.
3398,1. there are questioned calcification in the lower outer left breast.
3399,1. there are questioned calcification in the lower outer left breast at anterior depth.
3400,1. there are questioned calcification in the lower outer left breast at mid depth.
3401,1. there are questioned calcification in the lower outer left breast at posterior depth.
3402,1. there are questioned calcification in the lower inner left breast.
3403,1. there are questioned calcification in the lower inner left breast at anterior depth.
3404,1. there are questioned calcification in the lower inner left breast at mid depth.
3405,1. there are questioned calcification in the lower inner left breast at posterior depth.
3406,1. there are questioned calcification in the subareolar left breast.
3407,1. there are questioned calcification in the subareolar left breast at anterior depth.
3408,1. there are questioned calcification in the subareolar left breast at mid depth.
3409,1. there are questioned calcification in the subareolar left breast at posterior depth.
3410,1. there are questioned new calcification in the left breast.
3411,1. there are questioned new calcification in the left breast at anterior depth.
3412,1. there are questioned new calcification in the left breast at mid depth.
3413,1. there are questioned new calcification in the left breast at posterior depth.
3414,1. there are questioned new calcification in the upper left breast.
3415,1. there are questioned new calcification in the upper left breast at anterior depth.
3416,1. there are questioned new calcification in the upper left breast at mid depth.
3417,1. there are questioned new calcification in the upper left breast at posterior depth.
3418,1. there are questioned new calcification in the lower left breast.
3419,1. there are questioned new calcification in the lower left breast at anterior depth.
3420,1. there are questioned new calcification in the lower left breast at mid depth.
3421,1. there are questioned new calcification in the lower left breast at posterior depth.
3422,1. there are questioned new calcification in the inner left breast.
3423,1. there are questioned new calcification in the inner left breast at anterior depth.
3424,1. there are questioned new calcification in the inner left breast at mid depth.
3425,1. there are questioned new calcification in the inner left breast at posterior depth.
3426,1. there are questioned new calcification in the outer left breast.
3427,1. there are questioned new calcification in the outer left breast at anterior depth.
3428,1. there are questioned new calcification in the outer left breast at mid depth.
3429,1. there are questioned new calcification in the outer left breast at posterior depth.
3430,1. there are questioned new calcification in the upper outer left breast.
3431,1. there are questioned new calcification in the upper outer left breast at anterior depth.
3432,1. there are questioned new calcification in the upper outer left breast at mid depth.
3433,1. there are questioned new calcification in the upper outer left breast at posterior depth.
3434,1. there are questioned new calcification in the upper inner left breast.
3435,1. there are questioned new calcification in the upper inner left breast at anterior depth.
3436,1. there are questioned new calcification in the upper inner left breast at mid depth.
3437,1. there are questioned new calcification in the upper inner left breast at posterior depth.
3438,1. there are questioned new calcification in the lower outer left breast.
3439,1. there are questioned new calcification in the lower outer left breast at anterior depth.
3440,1. there are questioned new calcification in the lower outer left breast at mid depth.
3441,1. there are questioned new calcification in the lower outer left breast at posterior depth.
3442,1. there are questioned new calcification in the lower inner left breast.
3443,1. there are questioned new calcification in the lower inner left breast at anterior depth.
3444,1. there are questioned new calcification in the lower inner left breast at mid depth.
3445,1. there are questioned new calcification in the lower inner left breast at posterior depth.
3446,1. there are questioned new calcification in the subareolar left breast.
3447,1. there are questioned new calcification in the subareolar left breast at anterior depth.
3448,1. there are questioned new calcification in the subareolar left breast at mid depth.
3449,1. there are questioned new calcification in the subareolar left breast at posterior depth.
3450,1. there are questioned grouped calcification in the left breast.
3451,1. there are questioned grouped calcification in the left breast at anterior depth.
3452,1. there are questioned grouped calcification in the left breast at mid depth.
3453,1. there are questioned grouped calcification in the left breast at posterior depth.
3454,1. there are questioned grouped calcification in the upper left breast.
3455,1. there are questioned grouped calcification in the upper left breast at anterior depth.
3456,1. there are questioned grouped calcification in the upper left breast at mid depth.
3457,1. there are questioned grouped calcification in the upper left breast at posterior depth.
3458,1. there are questioned grouped calcification in the lower left breast.
3459,1. there are questioned grouped calcification in the lower left breast at anterior depth.
3460,1. there are questioned grouped calcification in the lower left breast at mid depth.
3461,1. there are questioned grouped calcification in the lower left breast at posterior depth.
3462,1. there are questioned grouped calcification in the inner left breast.
3463,1. there are questioned grouped calcification in the inner left breast at anterior depth.
3464,1. there are questioned grouped calcification in the inner left breast at mid depth.
3465,1. there are questioned grouped calcification in the inner left breast at posterior depth.
3466,1. there are questioned grouped calcification in the outer left breast.
3467,1. there are questioned grouped calcification in the outer left breast at anterior depth.
3468,1. there are questioned grouped calcification in the outer left breast at mid depth.
3469,1. there are questioned grouped calcification in the outer left breast at posterior depth.
3470,1. there are questioned grouped calcification in the upper outer left breast.
3471,1. there are questioned grouped calcification in the upper outer left breast at anterior depth.
3472,1. there are questioned grouped calcification in the upper outer left breast at mid depth.
3473,1. there are questioned grouped calcification in the upper outer left breast at posterior depth.
3474,1. there are questioned grouped calcification in the upper inner left breast.
3475,1. there are questioned grouped calcification in the upper inner left breast at anterior depth.
3476,1. there are questioned grouped calcification in the upper inner left breast at mid depth.
3477,1. there are questioned grouped calcification in the upper inner left breast at posterior depth.
3478,1. there are questioned grouped calcification in the lower outer left breast.
3479,1. there are questioned grouped calcification in the lower outer left breast at anterior depth.
3480,1. there are questioned grouped calcification in the lower outer left breast at mid depth.
3481,1. there are questioned grouped calcification in the lower outer left breast at posterior depth.
3482,1. there are questioned grouped calcification in the lower inner left breast.
3483,1. there are questioned grouped calcification in the lower inner left breast at anterior depth.
3484,1. there are questioned grouped calcification in the lower inner left breast at mid depth.
3485,1. there are questioned grouped calcification in the lower inner left breast at posterior depth.
3486,1. there are questioned grouped calcification in the subareolar left breast.
3487,1. there are questioned grouped calcification in the subareolar left breast at anterior depth.
3488,1. there are questioned grouped calcification in the subareolar left breast at mid depth.
3489,1. there are questioned grouped calcification in the subareolar left breast at posterior depth.
3490,1. there are questioned clustered calcification in the left breast.
3491,1. there are questioned clustered calcification in the left breast at anterior depth.
3492,1. there are questioned clustered calcification in the left breast at mid depth.
3493,1. there are questioned clustered calcification in the left breast at posterior depth.
3494,1. there are questioned clustered calcification in the upper left breast.
3495,1. there are questioned clustered calcification in the upper left breast at anterior depth.
3496,1. there are questioned clustered calcification in the upper left breast at mid depth.
3497,1. there are questioned clustered calcification in the upper left breast at posterior depth.
3498,1. there are questioned clustered calcification in the lower left breast.
3499,1. there are questioned clustered calcification in the lower left breast at anterior depth.
3500,1. there are questioned clustered calcification in the lower left breast at mid depth.
3501,1. there are questioned clustered calcification in the lower left breast at posterior depth.
3502,1. there are questioned clustered calcification in the inner left breast.
3503,1. there are questioned clustered calcification in the inner left breast at anterior depth.
3504,1. there are questioned clustered calcification in the inner left breast at mid depth.
3505,1. there are questioned clustered calcification in the inner left breast at posterior depth.
3506,1. there are questioned clustered calcification in the outer left breast.
3507,1. there are questioned clustered calcification in the outer left breast at anterior depth.
3508,1. there are questioned clustered calcification in the outer left breast at mid depth.
3509,1. there are questioned clustered calcification in the outer left breast at posterior depth.
3510,1. there are questioned clustered calcification in the upper outer left breast.
3511,1. there are questioned clustered calcification in the upper outer left breast at anterior depth.
3512,1. there are questioned clustered calcification in the upper outer left breast at mid depth.
3513,1. there are questioned clustered calcification in the upper outer left breast at posterior depth.
3514,1. there are questioned clustered calcification in the upper inner left breast.
3515,1. there are questioned clustered calcification in the upper inner left breast at anterior depth.
3516,1. there are questioned clustered calcification in the upper inner left breast at mid depth.
3517,1. there are questioned clustered calcification in the upper inner left breast at posterior depth.
3518,1. there are questioned clustered calcification in the lower outer left breast.
3519,1. there are questioned clustered calcification in the lower outer left breast at anterior depth.
3520,1. there are questioned clustered calcification in the lower outer left breast at mid depth.
3521,1. there are questioned clustered calcification in the lower outer left breast at posterior depth.
3522,1. there are questioned clustered calcification in the lower inner left breast.
3523,1. there are questioned clustered calcification in the lower inner left breast at anterior depth.
3524,1. there are questioned clustered calcification in the lower inner left breast at mid depth.
3525,1. there are questioned clustered calcification in the lower inner left breast at posterior depth.
3526,1. there are questioned clustered calcification in the subareolar left breast.
3527,1. there are questioned clustered calcification in the subareolar left breast at anterior depth.
3528,1. there are questioned clustered calcification in the subareolar left breast at mid depth.
3529,1. there are questioned clustered calcification in the subareolar left breast at posterior depth.
3530,1. there are questioned segmental calcification in the left breast.
3531,1. there are questioned segmental calcification in the left breast at anterior depth.
3532,1. there are questioned segmental calcification in the left breast at mid depth.
3533,1. there are questioned segmental calcification in the left breast at posterior depth.
3534,1. there are questioned segmental calcification in the upper left breast.
3535,1. there are questioned segmental calcification in the upper left breast at anterior depth.
3536,1. there are questioned segmental calcification in the upper left breast at mid depth.
3537,1. there are questioned segmental calcification in the upper left breast at posterior depth.
3538,1. there are questioned segmental calcification in the lower left breast.
3539,1. there are questioned segmental calcification in the lower left breast at anterior depth.
3540,1. there are questioned segmental calcification in the lower left breast at mid depth.
3541,1. there are questioned segmental calcification in the lower left breast at posterior depth.
3542,1. there are questioned segmental calcification in the inner left breast.
3543,1. there are questioned segmental calcification in the inner left breast at anterior depth.
3544,1. there are questioned segmental calcification in the inner left breast at mid depth.
3545,1. there are questioned segmental calcification in the inner left breast at posterior depth.
3546,1. there are questioned segmental calcification in the outer left breast.
3547,1. there are questioned segmental calcification in the outer left breast at anterior depth.
3548,1. there are questioned segmental calcification in the outer left breast at mid depth.
3549,1. there are questioned segmental calcification in the outer left breast at posterior depth.
3550,1. there are questioned segmental calcification in the upper outer left breast.
3551,1. there are questioned segmental calcification in the upper outer left breast at anterior depth.
3552,1. there are questioned segmental calcification in the upper outer left breast at mid depth.
3553,1. there are questioned segmental calcification in the upper outer left breast at posterior depth.
3554,1. there are questioned segmental calcification in the upper inner left breast.
3555,1. there are questioned segmental calcification in the upper inner left breast at anterior depth.
3556,1. there are questioned segmental calcification in the upper inner left breast at mid depth.
3557,1. there are questioned segmental calcification in the upper inner left breast at posterior depth.
3558,1. there are questioned segmental calcification in the lower outer left breast.
3559,1. there are questioned segmental calcification in the lower outer left breast at anterior depth.
3560,1. there are questioned segmental calcification in the lower outer left breast at mid depth.
3561,1. there are questioned segmental calcification in the lower outer left breast at posterior depth.
3562,1. there are questioned segmental calcification in the lower inner left breast.
3563,1. there are questioned segmental calcification in the lower inner left breast at anterior depth.
3564,1. there are questioned segmental calcification in the lower inner left breast at mid depth.
3565,1. there are questioned segmental calcification in the lower inner left breast at posterior depth.
3566,1. there are questioned segmental calcification in the subareolar left breast.
3567,1. there are questioned segmental calcification in the subareolar left breast at anterior depth.
3568,1. there are questioned segmental calcification in the subareolar left breast at mid depth.
3569,1. there are questioned segmental calcification in the subareolar left breast at posterior depth.
3570,1. there are questioned linear calcification in the left breast.
3571,1. there are questioned linear calcification in the left breast at anterior depth.
3572,1. there are questioned linear calcification in the left breast at mid depth.
3573,1. there are questioned linear calcification in the left breast at posterior depth.
3574,1. there are questioned linear calcification in the upper left breast.
3575,1. there are questioned linear calcification in the upper left breast at anterior depth.
3576,1. there are questioned linear calcification in the upper left breast at mid depth.
3577,1. there are questioned linear calcification in the upper left breast at posterior depth.
3578,1. there are questioned linear calcification in the lower left breast.
3579,1. there are questioned linear calcification in the lower left breast at anterior depth.
3580,1. there are questioned linear calcification in the lower left breast at mid depth.
3581,1. there are questioned linear calcification in the lower left breast at posterior depth.
3582,1. there are questioned linear calcification in the inner left breast.
3583,1. there are questioned linear calcification in the inner left breast at anterior depth.
3584,1. there are questioned linear calcification in the inner left breast at mid depth.
3585,1. there are questioned linear calcification in the inner left breast at posterior depth.
3586,1. there are questioned linear calcification in the outer left breast.
3587,1. there are questioned linear calcification in the outer left breast at anterior depth.
3588,1. there are questioned linear calcification in the outer left breast at mid depth.
3589,1. there are questioned linear calcification in the outer left breast at posterior depth.
3590,1. there are questioned linear calcification in the upper outer left breast.
3591,1. there are questioned linear calcification in the upper outer left breast at anterior depth.
3592,1. there are questioned linear calcification in the upper outer left breast at mid depth.
3593,1. there are questioned linear calcification in the upper outer left breast at posterior depth.
3594,1. there are questioned linear calcification in the upper inner left breast.
3595,1. there are questioned linear calcification in the upper inner left breast at anterior depth.
3596,1. there are questioned linear calcification in the upper inner left breast at mid depth.
3597,1. there are questioned linear calcification in the upper inner left breast at posterior depth.
3598,1. there are questioned linear calcification in the lower outer left breast.
3599,1. there are questioned linear calcification in the lower outer left breast at anterior depth.
3600,1. there are questioned linear calcification in the lower outer left breast at mid depth.
3601,1. there are questioned linear calcification in the lower outer left breast at posterior depth.
3602,1. there are questioned linear calcification in the lower inner left breast.
3603,1. there are questioned linear calcification in the lower inner left breast at anterior depth.
3604,1. there are questioned linear calcification in the lower inner left breast at mid depth.
3605,1. there are questioned linear calcification in the lower inner left breast at posterior depth.
3606,1. there are questioned linear calcification in the subareolar left breast.
3607,1. there are questioned linear calcification in the subareolar left breast at anterior depth.
3608,1. there are questioned linear calcification in the subareolar left breast at mid depth.
3609,1. there are questioned linear calcification in the subareolar left breast at posterior depth.
3610,1. there are questionable calcification in the left breast.
3611,1. there are questionable calcification in the left breast at anterior depth.
3612,1. there are questionable calcification in the left breast at mid depth.
3613,1. there are questionable calcification in the left breast at posterior depth.
3614,1. there are questionable calcification in the upper left breast.
3615,1. there are questionable calcification in the upper left breast at anterior depth.
3616,1. there are questionable calcification in the upper left breast at mid depth.
3617,1. there are questionable calcification in the upper left breast at posterior depth.
3618,1. there are questionable calcification in the lower left breast.
3619,1. there are questionable calcification in the lower left breast at anterior depth.
3620,1. there are questionable calcification in the lower left breast at mid depth.
3621,1. there are questionable calcification in the lower left breast at posterior depth.
3622,1. there are questionable calcification in the inner left breast.
3623,1. there are questionable calcification in the inner left breast at anterior depth.
3624,1. there are questionable calcification in the inner left breast at mid depth.
3625,1. there are questionable calcification in the inner left breast at posterior depth.
3626,1. there are questionable calcification in the outer left breast.
3627,1. there are questionable calcification in the outer left breast at anterior depth.
3628,1. there are questionable calcification in the outer left breast at mid depth.
3629,1. there are questionable calcification in the outer left breast at posterior depth.
3630,1. there are questionable calcification in the upper outer left breast.
3631,1. there are questionable calcification in the upper outer left breast at anterior depth.
3632,1. there are questionable calcification in the upper outer left breast at mid depth.
3633,1. there are questionable calcification in the upper outer left breast at posterior depth.
3634,1. there are questionable calcification in the upper inner left breast.
3635,1. there are questionable calcification in the upper inner left breast at anterior depth.
3636,1. there are questionable calcification in the upper inner left breast at mid depth.
3637,1. there are questionable calcification in the upper inner left breast at posterior depth.
3638,1. there are questionable calcification in the lower outer left breast.
3639,1. there are questionable calcification in the lower outer left breast at anterior depth.
3640,1. there are questionable calcification in the lower outer left breast at mid depth.
3641,1. there are questionable calcification in the lower outer left breast at posterior depth.
3642,1. there are questionable calcification in the lower inner left breast.
3643,1. there are questionable calcification in the lower inner left breast at anterior depth.
3644,1. there are questionable calcification in the lower inner left breast at mid depth.
3645,1. there are questionable calcification in the lower inner left breast at posterior depth.
3646,1. there are questionable calcification in the subareolar left breast.
3647,1. there are questionable calcification in the subareolar left breast at anterior depth.
3648,1. there are questionable calcification in the subareolar left breast at mid depth.
3649,1. there are questionable calcification in the subareolar left breast at posterior depth.
3650,1. there are questionable new calcification in the left breast.
3651,1. there are questionable new calcification in the left breast at anterior depth.
3652,1. there are questionable new calcification in the left breast at mid depth.
3653,1. there are questionable new calcification in the left breast at posterior depth.
3654,1. there are questionable new calcification in the upper left breast.
3655,1. there are questionable new calcification in the upper left breast at anterior depth.
3656,1. there are questionable new calcification in the upper left breast at mid depth.
3657,1. there are questionable new calcification in the upper left breast at posterior depth.
3658,1. there are questionable new calcification in the lower left breast.
3659,1. there are questionable new calcification in the lower left breast at anterior depth.
3660,1. there are questionable new calcification in the lower left breast at mid depth.
3661,1. there are questionable new calcification in the lower left breast at posterior depth.
3662,1. there are questionable new calcification in the inner left breast.
3663,1. there are questionable new calcification in the inner left breast at anterior depth.
3664,1. there are questionable new calcification in the inner left breast at mid depth.
3665,1. there are questionable new calcification in the inner left breast at posterior depth.
3666,1. there are questionable new calcification in the outer left breast.
3667,1. there are questionable new calcification in the outer left breast at anterior depth.
3668,1. there are questionable new calcification in the outer left breast at mid depth.
3669,1. there are questionable new calcification in the outer left breast at posterior depth.
3670,1. there are questionable new calcification in the upper outer left breast.
3671,1. there are questionable new calcification in the upper outer left breast at anterior depth.
3672,1. there are questionable new calcification in the upper outer left breast at mid depth.
3673,1. there are questionable new calcification in the upper outer left breast at posterior depth.
3674,1. there are questionable new calcification in the upper inner left breast.
3675,1. there are questionable new calcification in the upper inner left breast at anterior depth.
3676,1. there are questionable new calcification in the upper inner left breast at mid depth.
3677,1. there are questionable new calcification in the upper inner left breast at posterior depth.
3678,1. there are questionable new calcification in the lower outer left breast.
3679,1. there are questionable new calcification in the lower outer left breast at anterior depth.
3680,1. there are questionable new calcification in the lower outer left breast at mid depth.
3681,1. there are questionable new calcification in the lower outer left breast at posterior depth.
3682,1. there are questionable new calcification in the lower inner left breast.
3683,1. there are questionable new calcification in the lower inner left breast at anterior depth.
3684,1. there are questionable new calcification in the lower inner left breast at mid depth.
3685,1. there are questionable new calcification in the lower inner left breast at posterior depth.
3686,1. there are questionable new calcification in the subareolar left breast.
3687,1. there are questionable new calcification in the subareolar left breast at anterior depth.
3688,1. there are questionable new calcification in the subareolar left breast at mid depth.
3689,1. there are questionable new calcification in the subareolar left breast at posterior depth.
3690,1. there are questionable grouped calcification in the left breast.
3691,1. there are questionable grouped calcification in the left breast at anterior depth.
3692,1. there are questionable grouped calcification in the left breast at mid depth.
3693,1. there are questionable grouped calcification in the left breast at posterior depth.
3694,1. there are questionable grouped calcification in the upper left breast.
3695,1. there are questionable grouped calcification in the upper left breast at anterior depth.
3696,1. there are questionable grouped calcification in the upper left breast at mid depth.
3697,1. there are questionable grouped calcification in the upper left breast at posterior depth.
3698,1. there are questionable grouped calcification in the lower left breast.
3699,1. there are questionable grouped calcification in the lower left breast at anterior depth.
3700,1. there are questionable grouped calcification in the lower left breast at mid depth.
3701,1. there are questionable grouped calcification in the lower left breast at posterior depth.
3702,1. there are questionable grouped calcification in the inner left breast.
3703,1. there are questionable grouped calcification in the inner left breast at anterior depth.
3704,1. there are questionable grouped calcification in the inner left breast at mid depth.
3705,1. there are questionable grouped calcification in the inner left breast at posterior depth.
3706,1. there are questionable grouped calcification in the outer left breast.
3707,1. there are questionable grouped calcification in the outer left breast at anterior depth.
3708,1. there are questionable grouped calcification in the outer left breast at mid depth.
3709,1. there are questionable grouped calcification in the outer left breast at posterior depth.
3710,1. there are questionable grouped calcification in the upper outer left breast.
3711,1. there are questionable grouped calcification in the upper outer left breast at anterior depth.
3712,1. there are questionable grouped calcification in the upper outer left breast at mid depth.
3713,1. there are questionable grouped calcification in the upper outer left breast at posterior depth.
3714,1. there are questionable grouped calcification in the upper inner left breast.
3715,1. there are questionable grouped calcification in the upper inner left breast at anterior depth.
3716,1. there are questionable grouped calcification in the upper inner left breast at mid depth.
3717,1. there are questionable grouped calcification in the upper inner left breast at posterior depth.
3718,1. there are questionable grouped calcification in the lower outer left breast.
3719,1. there are questionable grouped calcification in the lower outer left breast at anterior depth.
3720,1. there are questionable grouped calcification in the lower outer left breast at mid depth.
3721,1. there are questionable grouped calcification in the lower outer left breast at posterior depth.
3722,1. there are questionable grouped calcification in the lower inner left breast.
3723,1. there are questionable grouped calcification in the lower inner left breast at anterior depth.
3724,1. there are questionable grouped calcification in the lower inner left breast at mid depth.
3725,1. there are questionable grouped calcification in the lower inner left breast at posterior depth.
3726,1. there are questionable grouped calcification in the subareolar left breast.
3727,1. there are questionable grouped calcification in the subareolar left breast at anterior depth.
3728,1. there are questionable grouped calcification in the subareolar left breast at mid depth.
3729,1. there are questionable grouped calcification in the subareolar left breast at posterior depth.
3730,1. there are questionable clustered calcification in the left breast.
3731,1. there are questionable clustered calcification in the left breast at anterior depth.
3732,1. there are questionable clustered calcification in the left breast at mid depth.
3733,1. there are questionable clustered calcification in the left breast at posterior depth.
3734,1. there are questionable clustered calcification in the upper left breast.
3735,1. there are questionable clustered calcification in the upper left breast at anterior depth.
3736,1. there are questionable clustered calcification in the upper left breast at mid depth.
3737,1. there are questionable clustered calcification in the upper left breast at posterior depth.
3738,1. there are questionable clustered calcification in the lower left breast.
3739,1. there are questionable clustered calcification in the lower left breast at anterior depth.
3740,1. there are questionable clustered calcification in the lower left breast at mid depth.
3741,1. there are questionable clustered calcification in the lower left breast at posterior depth.
3742,1. there are questionable clustered calcification in the inner left breast.
3743,1. there are questionable clustered calcification in the inner left breast at anterior depth.
3744,1. there are questionable clustered calcification in the inner left breast at mid depth.
3745,1. there are questionable clustered calcification in the inner left breast at posterior depth.
3746,1. there are questionable clustered calcification in the outer left breast.
3747,1. there are questionable clustered calcification in the outer left breast at anterior depth.
3748,1. there are questionable clustered calcification in the outer left breast at mid depth.
3749,1. there are questionable clustered calcification in the outer left breast at posterior depth.
3750,1. there are questionable clustered calcification in the upper outer left breast.
3751,1. there are questionable clustered calcification in the upper outer left breast at anterior depth.
3752,1. there are questionable clustered calcification in the upper outer left breast at mid depth.
3753,1. there are questionable clustered calcification in the upper outer left breast at posterior depth.
3754,1. there are questionable clustered calcification in the upper inner left breast.
3755,1. there are questionable clustered calcification in the upper inner left breast at anterior depth.
3756,1. there are questionable clustered calcification in the upper inner left breast at mid depth.
3757,1. there are questionable clustered calcification in the upper inner left breast at posterior depth.
3758,1. there are questionable clustered calcification in the lower outer left breast.
3759,1. there are questionable clustered calcification in the lower outer left breast at anterior depth.
3760,1. there are questionable clustered calcification in the lower outer left breast at mid depth.
3761,1. there are questionable clustered calcification in the lower outer left breast at posterior depth.
3762,1. there are questionable clustered calcification in the lower inner left breast.
3763,1. there are questionable clustered calcification in the lower inner left breast at anterior depth.
3764,1. there are questionable clustered calcification in the lower inner left breast at mid depth.
3765,1. there are questionable clustered calcification in the lower inner left breast at posterior depth.
3766,1. there are questionable clustered calcification in the subareolar left breast.
3767,1. there are questionable clustered calcification in the subareolar left breast at anterior depth.
3768,1. there are questionable clustered calcification in the subareolar left breast at mid depth.
3769,1. there are questionable clustered calcification in the subareolar left breast at posterior depth.
3770,1. there are questionable segmental calcification in the left breast.
3771,1. there are questionable segmental calcification in the left breast at anterior depth.
3772,1. there are questionable segmental calcification in the left breast at mid depth.
3773,1. there are questionable segmental calcification in the left breast at posterior depth.
3774,1. there are questionable segmental calcification in the upper left breast.
3775,1. there are questionable segmental calcification in the upper left breast at anterior depth.
